string_cc	area
3701.07.01| Excavaciones varias sin clasicar	odl
3701.07.02| Material granular drenante	odl
3701.07.03| Rellenos con material seleccionado	odl
3701.07.04| Cuneta de concreto vaciado en situ; no incluye la conformación del sitio de apoyo. (21 Mpa)	odl
3701.07.05| Concreto clase 28 MPA (Sumideros)	odl
3701.07.06| Concreto clase 21 MPA (disipadores de energía)	odl
3701.07.07| Concreto clase 14 MPA (Cunetas de terraza y coronación)	odl
3701.07.08| Acero de refuerzo Fy=420 Mpa.	odl
3701.07.09| Malla electrosoldada de refuerzo fy 490 Mpa (6mm / 15x15)	odl
3701.07.10| Tubería de Concreto Reforzado de 600 mm de diámetro interior	odl
3701.07.11| Geodrén vial h=1 m con tubería de 100 mm	odl
3701.06.01| Excavaciones varias sin clasicar	odl
3701.06.02| Rellenos con material seleccionado	odl
3701.06.03| Material granular drenante	odl
3701.06.04| Acero de refuerzo Fy=420 Mpa.	odl
3701.06.05| Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III)	odl
3701.06.06| Tubería de Concreto Reforzado de 1200 mm de diámetro interior (Tipo III)	odl
3701.06.07| Concreto clase 14 MPA (solados, estructuras)	odl
3701.06.09| Concreto clase  28 MPA (encoles, descoles, box, sumideros)	odl
3701.06.10| Cinta pvc para juntas	odl
3701.06.11| Piedra pegada en concreto de 17.5 Mpa para canales de adecuación y protección de descoles (e=10cm)	odl
3701.06.22| Box abovedados galvanizados - Incluye tornilleria 4x4 30A-12-12	odl
3701.06.38| Geodrén vial h=1 m con tubería de 100 mm	odl
3701.06.47| Box abovedados galvanizados - Incluye tornilleria 1,5x1,5	odl
3701.06.48| Box abovedados galvanizados - Incluye tornilleria 2x1 30A-12-12	odl
3701.06.49| Box abovedados galvanizados - Incluye tornilleria 2X3 48A-18-24A	odl
3701.06.50| Box abovedados galvanizados - Incluye tornilleria 3x2 60A-12-30C	odl
3701.06.51| Box abovedados galvanizados - Incluye tornilleria 3x2 72PA15-36	odl
3701.06.52| Box abovedados galvanizados - Incluye tornilleria 5x2	odl
3701.06.53| Box abovedados galvanizados - Incluye tornilleria 2x2	odl
3701.06.54| Box abovedados galvanizados - Incluye tornilleria 3x1,5	odl
3701.06.55| Box abovedados galvanizados - Incluye tornilleria 3x3 72PA-15-36	odl
3701.06.56| Box abovedados galvanizados - Incluye tornilleria 3,5x2,5	odl
3701.06.57| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odl
3701.06.58| Box abovedados galvanizados - Incluye tornilleria 2,5x2	odl
3701.06.59| Box abovedados galvanizados - Incluye tornilleria 3x2	odl
3701.06.60| Box abovedados galvanizados - Incluye tornilleria 2,5x2,5 48A18-24A	odl
3701.06.61| Box abovedados galvanizados - Incluye tornilleria 5x2,5	odl
3701.06.62| Box abovedados galvanizados - Incluye tornilleria 4x3,5	odl
3701.06.63| Box abovedados galvanizados - Incluye tornilleria 3x3	odl
3701.06.64| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odl
3701.06.65| Box abovedados galvanizados - Incluye tornilleria 1x1	odl
3701.06.66| Box abovedados galvanizados - Incluye tornilleria 1x1	odl
3701.06.67| Box abovedados galvanizados - Incluye tornilleria 1x1	odl
3701.06.68| Box abovedados galvanizados - Incluye tornilleria 2x1 REF 48	odl
3701.06.69| Concreto clase 21 MPA (atraques, cabezales)	odl
3701.06.70| Geodrén planar h=1 m	odl
3702.06.01| Excavaciones varias sin clasicar	odl
3702.06.02| Rellenos con material seleccionado	odl
3702.06.03| Material granular drenante	odl
3702.06.04| Acero de refuerzo Fy=420 Mpa.	odl
3702.06.05| Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III)	odl
3702.06.06| Tubería de Concreto Reforzado de 1200 mm de diámetro interior (Tipo III)	odl
3702.06.07| Concreto clase 14 MPA (solados, estructuras)	odl
3702.06.09| Concreto clase  28 MPA (encoles, descoles, box, sumideros)	odl
3702.06.10| Cinta pvc para juntas	odl
3702.06.11| Piedra pegada en concreto de 17.5 Mpa para canales de adecuación y protección de descoles (e=10cm)	odl
3702.06.22| Box abovedados galvanizados - Incluye tornilleria 4x4	odl
3702.06.38| Geodrén vial h=1 m con tubería de 100 mm	odl
3702.06.47| Box abovedados galvanizados - Incluye tornilleria 1,5x1,5	odl
3702.06.48| Box abovedados galvanizados - Incluye tornilleria 2x1 30A-12-12	odl
3702.06.49| Box abovedados galvanizados - Incluye tornilleria 3x2 48A-18-24A	odl
3702.06.50| Box abovedados galvanizados - Incluye tornilleria 3x2	odl
3702.06.51| Box abovedados galvanizados - Incluye tornilleria 4x2	odl
3702.06.52| Box abovedados galvanizados - Incluye tornilleria 5x2	odl
3702.06.53| Box abovedados galvanizados - Incluye tornilleria 2x2	odl
3702.06.54| Box abovedados galvanizados - Incluye tornilleria 3x3	odl
3702.06.55| Box abovedados galvanizados - Incluye tornilleria 3x1,5 42A-12-24B	odl
3702.06.56| Box abovedados galvanizados - Incluye tornilleria 3,5x2,5	odl
3702.06.57| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odl
3702.06.58| Box abovedados galvanizados - Incluye tornilleria 2,5x2	odl
3702.06.59| Box abovedados galvanizados - Incluye tornilleria 2,5x2,5	odl
3702.06.60| Box abovedados galvanizados - Incluye tornilleria 3x2	odl
3702.06.61| Box abovedados galvanizados - Incluye tornilleria 5x2,5	odl
3702.06.62| Box abovedados galvanizados - Incluye tornilleria 4x3,5	odl
3702.06.63| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odl
3702.06.64| Box abovedados galvanizados - Incluye tornilleria 3x3	odl
3702.06.65| Box abovedados galvanizados - Incluye tornilleria 1x1	odl
3702.06.66| Box abovedados galvanizados - Incluye tornilleria 1x1	odl
3702.06.67| Box abovedados galvanizados - Incluye tornilleria 1x1	odl
3702.06.69| Concreto clase 21 MPA (atraques, cabezales)	odl
3702.06.70| Geodrén planar h=1 m	odl
3701.I010313| GESTION COMPRAS	odl
3702.I010313| GESTION COMPRAS	odl
