string_cc	area
3701.I010305| ENCARGADOS, INSPECTORES Y CAPATACES	odt
3702.I010305| ENCARGADOS, INSPECTORES Y CAPATACES	odt
3701.06.01| Excavaciones varias sin clasicar	odt
3701.06.02| Rellenos con material seleccionado	odt
3701.06.03| Material granular drenante	odt
3701.06.04| Acero de refuerzo Fy=420 Mpa.	odt
3701.06.05| Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III)	odt
3701.06.06| Tubería de Concreto Reforzado de 1200 mm de diámetro interior (Tipo III)	odt
3701.06.07| Concreto clase 14 MPA (solados, estructuras)	odt
3701.06.09| Concreto clase  28 MPA (encoles, descoles, box, sumideros)	odt
3701.06.10| Cinta pvc para juntas	odt
3701.06.11| Piedra pegada en concreto de 17.5 Mpa para canales de adecuación y protección de descoles (e=10cm)	odt
3701.06.22| Box abovedados galvanizados - Incluye tornilleria 4x4 30A-12-12	odt
3701.06.38| Geodrén vial h=1 m con tubería de 100 mm	odt
3701.06.47| Box abovedados galvanizados - Incluye tornilleria 1,5x1,5	odt
3701.06.48| Box abovedados galvanizados - Incluye tornilleria 2x1 30A-12-12	odt
3701.06.49| Box abovedados galvanizados - Incluye tornilleria 2X3 48A-18-24A	odt
3701.06.50| Box abovedados galvanizados - Incluye tornilleria 3x2 60A-12-30C	odt
3701.06.51| Box abovedados galvanizados - Incluye tornilleria 3x2 72PA15-36	odt
3701.06.52| Box abovedados galvanizados - Incluye tornilleria 5x2	odt
3701.06.53| Box abovedados galvanizados - Incluye tornilleria 2x2	odt
3701.06.54| Box abovedados galvanizados - Incluye tornilleria 3x1,5	odt
3701.06.55| Box abovedados galvanizados - Incluye tornilleria 3x3 72PA-15-36	odt
3701.06.56| Box abovedados galvanizados - Incluye tornilleria 3,5x2,5	odt
3701.06.57| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odt
3701.06.58| Box abovedados galvanizados - Incluye tornilleria 2,5x2	odt
3701.06.59| Box abovedados galvanizados - Incluye tornilleria 3x2	odt
3701.06.60| Box abovedados galvanizados - Incluye tornilleria 2,5x2,5 48A18-24A	odt
3701.06.61| Box abovedados galvanizados - Incluye tornilleria 5x2,5	odt
3701.06.62| Box abovedados galvanizados - Incluye tornilleria 4x3,5	odt
3701.06.63| Box abovedados galvanizados - Incluye tornilleria 3x3	odt
3701.06.64| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odt
3701.06.65| Box abovedados galvanizados - Incluye tornilleria 1x1	odt
3701.06.66| Box abovedados galvanizados - Incluye tornilleria 1x1	odt
3701.06.67| Box abovedados galvanizados - Incluye tornilleria 1x1	odt
3701.06.68| Box abovedados galvanizados - Incluye tornilleria 2x1 REF 48	odt
3701.06.69| Concreto clase 21 MPA (atraques, cabezales)	odt
3701.06.70| Geodrén planar h=1 m	odt
3702.06.01| Excavaciones varias sin clasicar	odt
3702.06.02| Rellenos con material seleccionado	odt
3702.06.03| Material granular drenante	odt
3702.06.04| Acero de refuerzo Fy=420 Mpa.	odt
3702.06.05| Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III)	odt
3702.06.06| Tubería de Concreto Reforzado de 1200 mm de diámetro interior (Tipo III)	odt
3702.06.07| Concreto clase 14 MPA (solados, estructuras)	odt
3702.06.09| Concreto clase  28 MPA (encoles, descoles, box, sumideros)	odt
3702.06.10| Cinta pvc para juntas	odt
3702.06.11| Piedra pegada en concreto de 17.5 Mpa para canales de adecuación y protección de descoles (e=10cm)	odt
3702.06.22| Box abovedados galvanizados - Incluye tornilleria 4x4	odt
3702.06.38| Geodrén vial h=1 m con tubería de 100 mm	odt
3702.06.47| Box abovedados galvanizados - Incluye tornilleria 1,5x1,5	odt
3702.06.48| Box abovedados galvanizados - Incluye tornilleria 2x1 30A-12-12	odt
3702.06.49| Box abovedados galvanizados - Incluye tornilleria 3x2 48A-18-24A	odt
3702.06.50| Box abovedados galvanizados - Incluye tornilleria 3x2	odt
3702.06.51| Box abovedados galvanizados - Incluye tornilleria 4x2	odt
3702.06.52| Box abovedados galvanizados - Incluye tornilleria 5x2	odt
3702.06.53| Box abovedados galvanizados - Incluye tornilleria 2x2	odt
3702.06.54| Box abovedados galvanizados - Incluye tornilleria 3x3	odt
3702.06.55| Box abovedados galvanizados - Incluye tornilleria 3x1,5 42A-12-24B	odt
3702.06.56| Box abovedados galvanizados - Incluye tornilleria 3,5x2,5	odt
3702.06.57| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odt
3702.06.58| Box abovedados galvanizados - Incluye tornilleria 2,5x2	odt
3702.06.59| Box abovedados galvanizados - Incluye tornilleria 2,5x2,5	odt
3702.06.60| Box abovedados galvanizados - Incluye tornilleria 3x2	odt
3702.06.61| Box abovedados galvanizados - Incluye tornilleria 5x2,5	odt
3702.06.62| Box abovedados galvanizados - Incluye tornilleria 4x3,5	odt
3702.06.63| Box abovedados galvanizados - Incluye tornilleria 4x2,5	odt
3702.06.64| Box abovedados galvanizados - Incluye tornilleria 3x3	odt
3702.06.65| Box abovedados galvanizados - Incluye tornilleria 1x1	odt
3702.06.66| Box abovedados galvanizados - Incluye tornilleria 1x1	odt
3702.06.67| Box abovedados galvanizados - Incluye tornilleria 1x1	odt
3702.06.69| Concreto clase 21 MPA (atraques, cabezales)	odt
3702.06.70| Geodrén planar h=1 m	odt
