id_maquina	tipo	horas_prog	propiedad	fecha_ingreso	fecha_retiro	notas
BL005	BULLDOZER	6.4	propia	2026-01-01		
BL009	BULLDOZER	6.4	propia	2026-01-01	2026-08-20	Entregada (D136)
NH69	BULLDOZER	5	alquilada	2026-01-01	2026-08-20	Devuelta (D136)
EXC001	EXCAVADORA	6.4	propia	2026-01-01	2026-08-20	Devuelta (D136)
EXC013	EXCAVADORA	6.4	propia	2026-01-01	2026-08-20	Devuelta (D136)
EXC014	EXCAVADORA	6.4	propia	2026-01-01	2026-08-20	Devuelta (D136)
EXC015	EXCAVADORA	6.4	propia	2026-01-01		
CAT320	EXCAVADORA	5	alquilada	2026-01-01	2026-06-16	Retirada jun-2026 (D61)
MO03	MOTONIVELADORA	6.4	propia	2026-01-01		
MO04	MOTONIVELADORA	6.4	propia	2026-01-01		
MO09	MOTONIVELADORA	6.4	propia	2026-01-01		
MC705	MOTONIVELADORA	5	alquilada	2026-01-01	2026-06-16	Retirada jun-2026 (D61)
FNG02	FINISHER	6.4	propia	2026-01-01	2026-08-20	Intermitente: se trae solo cuando hay BTC
CR019	VIBROCOMPACTADOR	6.4	propia	2026-01-01		ORTIZ
CR013	VIBROCOMPACTADOR	6.4	propia	2026-01-01		ORTIZ
CR016	VIBROCOMPACTADOR	6.4	propia	2026-01-01		ORTIZ
CR08	VIBROCOMPACTADOR	6.4	propia	2026-01-01	2026-08-20	ORTIZ. Intermitente: pareja del finisher
CS78B	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	GEOEXCON. Devuelta (D136)
NH403	VIBROCOMPACTADOR	5	alquilada	2026-01-01		DINISSAN
NH404	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Devuelta (D136)
NH420	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Devuelta (D136)
CAT900	VIBROCOMPACTADOR	5	alquilada	2026-01-01	2026-08-20	SK RENTAL. Devuelta (D136)
NH421	MINICARGADOR	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Devuelta (D136)
CR026	MINIBULDOZER	6.4	propia	2026-01-01		ORTIZ
RT-02	RETROEXCAVADORA	5	alquilada	2026-07-01		La pajarita (D111)
