centro_coste,proyecto,descripcion_cc,usos_ult_4_meses
3700.06.01,3700,,5
3700.06.02,3700,,5
3700.06.05,3700,,2
3700.11.09,3700,,1
3701.01.02,3701,,4
3701.02.01,3701,,2
3701.02.03,3701,,16
3701.02.05,3701,,243
3701.02.06,3701,,40
3701.02.07,3701,,504
3701.02.08,3701,,82
3701.02.09,3701,,34
3701.02.10,3701,,132
3701.02.11,3701,,457
3701.03.01,3701,,316
3701.03.02,3701,,51
3701.03.03,3701,,172
3701.03.04,3701,,55
3701.04.01,3701,,2
3701.04.03,3701,,1
3701.05.02,3701,,1
3701.05.04,3701,,376
3701.05.05,3701,,6
3701.06.01,3701,,32
3701.06.02,3701,,34
3701.06.04,3701,,30
3701.06.05,3701,,29
3701.06.07,3701,,1
3701.06.09,3701,,28
3701.06.48,3701,,1
3701.06.49,3701,,1
3701.06.60,3701,,1
3701.06.69,3701,,1
3701.07.01,3701,,11
3701.07.02,3701,,12
3701.07.03,3701,,7
3701.07.07,3701,,3
3701.07.08,3701,,1
3701.07.10,3701,,3
3701.09.02,3701,,4
3701.11.01,3701,,5
3701.11.03,3701,,1
3701.I0408,3701,,88
3701.I0504,3701,,1
3701.I0513,3701,,1
3702.01.11,3702,,2
3702.02.02,3702,,1
3702.02.03,3702,,16
3702.02.05,3702,,37
3702.02.07,3702,,417
3702.02.08,3702,,43
3702.02.09,3702,,6
3702.02.10,3702,,51
3702.02.11,3702,,460
3702.03.01,3702,,157
3702.03.02,3702,,46
3702.03.03,3702,,41
3702.03.04,3702,,35
3702.06.01,3702,,27
3702.06.02,3702,,47
3702.06.04,3702,,13
3702.06.05,3702,,48
3702.06.07,3702,,1
3702.06.09,3702,,10
3702.06.69,3702,,1
3702.07.01,3702,,6
3702.07.02,3702,,3
3702.07.03,3702,,5
3702.07.08,3702,,1
3702.07.10,3702,,3
3702.11.01,3702,,11
3702.11.04,3702,,14
3702.I0408,3702,,117
3702.I0504,3702,,1
3702.I0513,3702,,1
3703.01.02,3703,,5
3703.01.06,3703,,2
3703.011.01,3703,,1
3703.02.01,3703,,10
3703.02.02,3703,,8
3703.02.03,3703,,16
3703.02.04,3703,,5
3703.02.05,3703,,263
3703.02.06,3703,,5
3703.02.07,3703,,4
3703.02.09,3703,,67
3703.02.10,3703,,97
3703.03.01,3703,,1
3703.03.02,3703,,421
3703.03.03,3703,,7
3703.03.04,3703,,1
3703.03.06,3703,,560
3703.03.07,3703,,9
3703.04.01,3703,,101
3703.04.02,3703,,8
3703.04.03,3703,,4
3703.04.05,3703,,31
3703.04.06,3703,,37
3703.05.02,3703,,1
3703.05.05,3703,,1
3703.06.01,3703,,4
3703.06.02,3703,,24
3703.06.06,3703,,31
3703.06.07,3703,,9
3703.06.08,3703,,1
3703.06.10,3703,,25
3703.06.11,3703,,1
3703.07.01,3703,,22
3703.07.04,3703,,37
3703.07.08,3703,,26
3703.11.01,3703,,43
3703.I0504,3703,,2
37P01.01.02,37P01,,1
37PS01.01.05.14,37PS01,,3
37PS01.03.02.01,37PS01,,8
37PS01.04.02.01,37PS01,,4
37PS02.01.02.01,37PS02,,1
37PS04.08.01.06,37PS04,,1
37PS04.13.01.03,37PS04,,6
